GeneID,log2FoldChange,logCPM,PValue,padj,GeneName
KH2013:KH.C10.346,0.168878216,7.6928888881,0.4023173203,1,DDX54
KH2013:KH.C10.347,0.0840204458,5.1016394389,0.7329473465,1,ABHD11
KH2013:KH.C10.348,-0.6932231328,1.500996239,0.266801203,1,FUT6/9
KH2013:KH.C10.349,-0.0724666808,4.5132868579,0.8025787202,1,TAMM41
KH2013:KH.C10.35,-0.1347645936,0.2670877327,1,1,KH2013:KH.C10.35_EIF3L
KH2013:KH.C10.350,-0.2109223243,4.653527661,0.613474551,1,KH2013:KH.C10.350_PIP
KH2013:KH.C10.351,0.4211543245,1.0839299072,0.5581679527,1,KH2013:KH.C10.351_CRYM
KH2013:KH.C10.352,0.0612427234,5.2418490278,0.8152251458,1,NIPSNAP/1
KH2013:KH.C10.353,0.6219339097,-0.5462145951,0.76743771,1,HS1BP3
KH2013:KH.C10.354,-0.0774731671,3.1541535961,0.8449214646,1,KH2013:KH.C10.354
KH2013:KH.C10.355,-0.198787642,4.999667835,0.3947636791,1,EEPD1
KH2013:KH.C10.356,-0.4640174729,2.9570161017,0.2152391612,1,KH2013:KH.C10.356
KH2013:KH.C10.357,0.1075245786,5.5141137788,0.6285944702,1,SLC30A6
KH2013:KH.C10.358,-0.1557222823,3.315338491,0.6876573998,1,TAF6L
KH2013:KH.C10.359,-0.1002831306,-0.5244807761,1,1,KH2013:KH.C10.359
KH2013:KH.C10.36,0.2740721973,4.1622167821,0.373518797,1,ABCC10
KH2013:KH.C10.360,0.0640344973,6.8521231003,0.7071713376,1,HIS-12/21/26/3/30/33/35/43/47/53/57/61/65/68/7
KH2013:KH.C10.361,-0.2853741167,1.6521349013,0.6880123105,1,KH2013:KH.C10.361_NRBF2
KH2013:KH.C10.362,0.3618766194,2.4415498231,0.415269707,1,KH2013:KH.C10.362_ETHE1
KH2013:KH.C10.363,-0.390390431,1.1124686331,0.6427939049,1,KH2013:KH.C10.363
KH2013:KH.C10.364,-1.6216404898,-0.0453453959,0.3213274309,1,KH2013:KH.C10.364
KH2013:KH.C10.365,0.4408418171,3.297886414,0.2536090698,1,GAR1
KH2013:KH.C10.366,0.3084001609,1.617704398,0.7054147002,1,SLC43A1/2
KH2013:KH.C10.367,-0.4620024694,2.3051688237,0.3685722057,1,SIX3/4/6
KH2013:KH.C10.368,0.1353335342,4.6081622215,0.7530252601,1,C8ORF84
KH2013:KH.C10.369,0.1728483931,7.4573213047,0.3101631477,1,KH2013:KH.C10.369_CIT
KH2013:KH.C10.37,-0.3589367916,5.5680564988,0.1072829749,1,CBLB
KH2013:KH.C10.370,0.0659340413,8.7729156613,0.7002348301,1,NCAPH
KH2013:KH.C10.371,-0.8955180754,0.3490149643,0.6048745581,1,KH2013:KH.C10.371_HMCN1
KH2013:KH.C10.372,0.2440199372,6.5579633355,0.1794036729,1,PPP1R37
