GeneID,log2FoldChange,logCPM,PValue,padj,GeneName
KH2013:KH.C10.287,0.1592101568,6.1947683123,0.4649509165,1,BCL9L
KH2013:KH.C10.288,0.0200249531,4.5588150073,0.939163604,1,RIC3
KH2013:KH.C10.289,-1.9217700901,-1.4089757191,1,1,KH2013:KH.C10.289
KH2013:KH.C10.29,0,-1.5202957475,1,1,KH2013:KH.C10.29
KH2013:KH.C10.290,-0.4433773124,2.175913909,0.3553903508,1,SWiP1
KH2013:KH.C10.291,-0.0126744557,5.8587130731,0.9417343009,1,KCNJ12/14/18/2/4
KH2013:KH.C10.292,0,-1.2989801135,1,1,KH2013:KH.C10.292
KH2013:KH.C10.294,0.1168287537,5.4447745532,0.5780040304,1,CCDC9
KH2013:KH.C10.295,-0.6781214377,1.5981370752,0.3428388358,1,KH2013:KH.C10.295
KH2013:KH.C10.296,0.0466551626,6.1068411106,0.839037626,1,KH2013:KH.C10.296
KH2013:KH.C10.297,0.1018912657,2.3323021461,1,1,MOK
KH2013:KH.C10.298,-0.4882785296,2.4375040679,0.323581788,1,SDHDA
KH2013:KH.C10.299,0.0166596687,4.9105222717,0.9447649755,1,NAA50
KH2013:KH.C10.3,-0.1764650713,4.2084515381,0.598700648,1,CHMP6
KH2013:KH.C10.30,0.8426505436,2.5812431807,0.0521968981,1,KH2013:KH.C10.30
KH2013:KH.C10.300,-1.9217700901,-1.2977284284,1,1,KH2013:KH.C10.300
KH2013:KH.C10.301,-1.9217700901,-1.4089757191,1,1,KH2013:KH.C10.301_CG9517
KH2013:KH.C10.302,0,-1.4053514135,1,1,KH2013:KH.C10.302
KH2013:KH.C10.303,-0.1216888146,3.1350560959,0.7178545284,1,XRRA1
KH2013:KH.C10.304,0.0341552698,7.02414384,0.8567384485,1,KH2013:KH.C10.304
KH2013:KH.C10.305,-0.0664205586,6.8209730869,0.7156558328,1,TBP
KH2013:KH.C10.306,0.2829362054,-0.8626663716,1,1,KH2013:KH.C10.306
KH2013:KH.C10.307,3.8393343892,-1.0063149999,0.2768820895,1,KH2013:KH.C10.307_SUCLG1
KH2013:KH.C10.308,0.1273272247,6.2881776331,0.5263525219,1,ZNF862
KH2013:KH.C10.309,-0.490913571,1.6817876337,0.4457016517,1,KH2013:KH.C10.309_THBS1
KH2013:KH.C10.31,-0.0793855075,7.6969163377,0.678204003,1,RABAC1
KH2013:KH.C10.310,-0.0668221981,5.5271541646,0.7562274114,1,NDUFS4
KH2013:KH.C10.311,0.0387478235,4.1986139319,0.896069114,1,PRKCE
KH2013:KH.C10.312,0,-1.5202957475,1,1,KH2013:KH.C10.312_CD81/9
KH2013:KH.C10.313,0.2085611802,-0.5824092461,1,1,KH2013:KH.C10.313
KH2013:KH.C10.314,0.0516613639,3.9431730796,0.8882314918,1,KH2013:KH.C10.314
KH2013:KH.C10.315,-0.281130604,-0.8678024426,1,1,KH2013:KH.C10.315
KH2013:KH.C10.316,-0.1888985845,0.0671305659,1,1,KH2013:KH.C10.316
KH2013:KH.C10.317,0.5760412934,3.8259742419,0.201384712,1,KH2013:KH.C10.317_FN1
KH2013:KH.C10.318,-0.2206282815,2.1704500491,0.7354175138,1,CENPV
KH2013:KH.C10.319,0.1277722848,4.9237814669,0.582042938,1,KH2013:KH.C10.319
KH2013:KH.C10.32,-0.0163111448,0.2643162427,1,1,KH2013:KH.C10.32
KH2013:KH.C10.320,-0.0793327824,7.6672873515,0.6548134559,1,KH2013:KH.C10.320_USP32/6
KH2013:KH.C10.321,0.0448026841,2.984249157,1,1,C16ORF89
KH2013:KH.C10.322,-0.7789604186,2.6101602405,0.0818930414,1,KH2013:KH.C10.322
KH2013:KH.C10.324,0.0692626641,4.6870929628,0.8144694162,1,MTIF2
KH2013:KH.C10.325,0.164756,7.2403598692,0.328255512,1,KH2013:KH.C10.325
KH2013:KH.C10.326,-1.1859749442,0.7966785655,0.3844617598,1,KH2013:KH.C10.326
KH2013:KH.C10.328,-0.0950257683,6.301578389,0.657728482,1,PRDX4
KH2013:KH.C10.329,-0.0531727442,5.856689522,0.7976812737,1,KIAA0317
KH2013:KH.C10.33,-0.1266300777,6.2867063484,0.478242146,1,PHB/1
KH2013:KH.C10.330,-0.1634347702,4.5964047528,0.5985793673,1,KH2013:KH.C10.330_PPP2R5A
KH2013:KH.C10.331,0.2077922408,-1.0237351395,1,1,KH2013:KH.C10.331_MRC1
KH2013:KH.C10.332,-0.3656927606,3.3402145528,0.3229159165,1,KH2013:KH.C10.332
KH2013:KH.C10.334,0.1300639453,4.1878583833,0.6706036719,1,SLC50A1
KH2013:KH.C10.335,0.1568469645,0.039744521,1,1,KH2013:KH.C10.335_CALM1/2
KH2013:KH.C10.336,-0.3293300635,1.0997499391,0.8156741875,1,KH2013:KH.C10.336
KH2013:KH.C10.337,0.3194059842,4.0328046268,0.2768155257,1,NDE1/2
KH2013:KH.C10.338,1.6276108015,1.840505071,0.2163792365,1,NKX2-1/4
KH2013:KH.C10.339,-1.7484261598,0.3196418372,0.2053240481,1,ANGPT1/2
KH2013:KH.C10.34,-0.2288790539,4.9187509291,0.36324294,1,KH2013:KH.C10.34_TXNDC3
KH2013:KH.C10.340,-0.0696958073,2.4663592614,1,1,KH2013:KH.C10.340_DHRS11
KH2013:KH.C10.341,-2.6954686126,-1.1145151873,1,1,KH2013:KH.C10.341_CYP2C29/37/38/39/40/44/50/54/55/65/66/67/68/69/70
KH2013:KH.C10.342,-0.3274622049,1.6226307018,0.6341440929,1,C14ORF159
KH2013:KH.C10.343,-0.1856158739,1.6638462886,0.7843164682,1,SLC7A1/2/3
KH2013:KH.C10.344,-0.5939135088,0.9247905119,0.4047365186,1,KH2013:KH.C10.344
KH2013:KH.C10.345,-0.339411659,4.8488085366,0.1671044814,1,RPAP3
KH2013:KH.C10.346,0.0783668641,7.7399790142,0.6845600029,1,DDX54
KH2013:KH.C10.347,0.0944089596,5.153593828,0.7417951788,1,ABHD11
KH2013:KH.C10.348,-0.1497832009,1.5722295241,0.7378988147,1,FUT6/9
KH2013:KH.C10.349,0.0800024865,4.5759215902,0.7435306577,1,TAMM41
KH2013:KH.C10.35,-0.1612941728,0.3783922148,1,1,KH2013:KH.C10.35_EIF3L
KH2013:KH.C10.350,-0.4869329047,4.6999667464,0.1870789771,1,KH2013:KH.C10.350_PIP
KH2013:KH.C10.351,1.0192621028,1.1536537149,0.1998497342,1,KH2013:KH.C10.351_CRYM
KH2013:KH.C10.352,-0.2891026954,5.2909951401,0.1750042937,1,NIPSNAP/1
KH2013:KH.C10.353,-0.4198327444,-0.43415613,0.8562738638,1,HS1BP3
KH2013:KH.C10.354,0.1555733164,3.1928860691,0.6125557034,1,KH2013:KH.C10.354
KH2013:KH.C10.355,-0.3244160499,5.05930853,0.1653786231,1,EEPD1
KH2013:KH.C10.356,-0.0303110359,3.0112466251,0.9527986377,1,KH2013:KH.C10.356
KH2013:KH.C10.357,-0.048073504,5.5522345586,0.8069084311,1,SLC30A6
KH2013:KH.C10.358,-0.1349247142,3.3918334632,0.7743943959,1,TAF6L
KH2013:KH.C10.359,0.0021018013,-0.5300073724,1,1,KH2013:KH.C10.359
KH2013:KH.C10.36,0.3472400099,4.2180745422,0.2477747658,1,ABCC10
KH2013:KH.C10.360,0.1022596542,6.8852061149,0.5626716968,1,HIS-12/21/26/3/30/33/35/43/47/53/57/61/65/68/7
KH2013:KH.C10.361,0.1759102408,1.7094119461,0.8352934973,1,KH2013:KH.C10.361_NRBF2
KH2013:KH.C10.362,0.3895673567,2.4694752728,0.3571327869,1,KH2013:KH.C10.362_ETHE1
KH2013:KH.C10.363,-0.6328437594,1.2042696699,0.4149235265,1,KH2013:KH.C10.363
KH2013:KH.C10.364,-1.2146705277,0.0674756239,0.4255320979,1,KH2013:KH.C10.364
KH2013:KH.C10.365,0.0435331152,3.3479908065,0.8439234099,1,GAR1
KH2013:KH.C10.366,0.2131285208,1.6495800845,0.8922011438,1,SLC43A1/2
KH2013:KH.C10.367,-0.7586114895,2.3812415501,0.1083782911,1,SIX3/4/6
KH2013:KH.C10.368,-0.5732774318,4.6488005601,0.236680718,1,C8ORF84
KH2013:KH.C10.369,0.0671925709,7.5091246828,0.68519458,1,KH2013:KH.C10.369_CIT
KH2013:KH.C10.37,0.0404275626,5.6244659292,0.9134312749,1,CBLB
KH2013:KH.C10.370,0.1795547118,8.8152526696,0.2916914972,1,NCAPH
KH2013:KH.C10.371,-1.1277871201,0.4240359944,0.4152484477,1,KH2013:KH.C10.371_HMCN1
KH2013:KH.C10.372,0.1117555667,6.6045082008,0.5406679585,1,PPP1R37
