"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.C11.522",445.541336712787,-0.567476608203543,0.549990997249923,-1.03179254031621,0.302169314587655,0.699800712553887,334,597,521,642,390,203,472,302,190,224,341,343,625,676,760,598
"KH2013:KH.C11.152",1.75022047873397,-2.24045815681415,2.44286624967396,-0.917143194848745,0.359067608866278,NA,0,0,1,2,1,3,2,0,0,2,5,1,16,3,1,8
"KH2013:KH.C11.678",480.005584864838,0.697727860686615,0.278184932824772,2.50814396596422,0.0121367207453181,0.150626841213903,484,480,353,545,813,547,442,474,341,445,982,470,1400,789,778,548
"KH2013:KH.C11.558",338.494032284638,-0.281939223287903,0.548200054044516,-0.514299882329103,0.607042343968467,0.880776109515242,252,195,192,268,220,351,528,206,162,203,219,235,397,218,466,273
"KH2013:KH.C11.410",51.7505871714348,-0.862908779561223,0.688911387473192,-1.25256861078494,0.210362744274808,0.606647976933068,27,40,7,26,40,77,20,26,22,25,244,85,472,78,36,35
"KH2013:KH.C11.675",28.3058701077687,0.428422337000351,1.07010088557961,0.400356959585452,0.688893620440821,0.91176051739919,21,18,5,6,111,38,5,10,4,4,91,20,65,36,30,14
"KH2013:KH.C11.554",6.1469315438988,0.36538430189727,1.64143216726175,0.222600914728512,0.82384612446132,NA,0,3,0,0,2,13,1,0,2,0,3,8,1,2,0,7
"KH2013:KH.C11.586",11.7943033184278,0.103387577826272,1.29197697526092,0.0800227711530171,0.936219145284179,NA,2,3,10,1,12,7,11,0,3,0,25,41,1,11,5,6
"KH2013:KH.C11.674",55.6516572076174,-0.642883744013446,0.963862144073471,-0.666987232527353,0.504780288730969,0.833748506192569,0,27,70,103,12,43,31,6,65,4,10,46,22,30,5,16
"KH2013:KH.C11.662",7.50569311122056,-1.72389894014805,1.78713021218719,-0.964618542281955,0.334735908599974,NA,0,10,2,0,20,11,7,0,3,0,300,11,48,13,1,5
"KH2013:KH.C11.10",143.591083597208,-0.185840758907034,0.711137567042739,-0.261328844825133,0.793838924252284,0.940927888933943,92,118,43,94,67,3,124,88,21,31,453,194,49,57,60,128
"KH2013:KH.C11.31",7667.43689594169,0.28543884252585,0.162729367433171,1.75407086642226,0.0794183649673587,0.392767586812178,8752,8005,6137,8356,9148,9421,9314,7530,3978,6028,8314,5009,20488,9399,12370,10328
"KH2013:KH.C11.348",1.86514955216452,-2.23544194166064,2.28008143616327,-0.980421973621369,0.326877867534963,NA,1,3,0,4,0,0,3,0,0,7,0,4,6,9,1,7
"KH2013:KH.C11.543",47.0879484853967,-1.78311508448418,1.56916969356229,-1.13634305569348,0.255813017866052,0.654624143461744,30,25,19,18,29,66,108,13,19,5,164,76,51,33,51,38
"KH2013:KH.C11.424",504.425750520279,0.525985542496377,0.279525650709541,1.8817076041545,0.0598757267198537,0.342160124797059,559,403,444,394,1629,898,421,371,339,459,404,419,958,581,626,416
