"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","foxfdnnk418hpf1","foxfdnnk418hpf2","foxfdnnk420hpf1","foxfdnnk420hpf2","foxfnk412hpf1","foxfnk412hpf2","foxfnk415hpf1","foxfnk415hpf2","handrnoggin12hpf1","handrnoggin12hpf2","handrnoggin15hpf1","handrnoggin15hpf2","handrnoggin18hpf1","handrnoggin18hpf2","handrnoggin20hpf1","handrnoggin20hpf2"
"KH2013:KH.L46.12",3.51989200063246,0.303726072191075,1.99481367079493,0.152257865803597,0.878983555611523,NA,4,5,2,1,7,13,1,3,3,0,7,5,18,13,4,5
"KH2013:KH.L46.5",2.16794508184701,0.884337677634,2.88231387874746,0.306815189058555,0.758984046321513,NA,0,3,0,0,5,0,0,2,0,0,9,3,16,14,4,11
"KH2013:KH.L46.9",1444.44160549731,0.295290895041876,0.294163862273642,1.00383130939172,0.315459930307214,0.542524627492815,1604,1700,1140,1659,1769,1273,2114,1719,970,1385,2096,1094,3847,2247,2717,1798
"KH2013:KH.L46.14",41.9857759455653,-0.453121849221155,0.618360494689347,-0.732779427393393,0.463692970787298,0.673481037228916,27,58,31,42,45,12,15,14,19,13,52,25,135,59,59,65
"KH2013:KH.L46.6",4018.0027905883,3.44804118853534,0.786416466720259,4.3844976986753,1.16253711778278e-05,0.00033445904212509,4478,3233,3687,10647,2812,6696,518,627,1504,860,597,1064,2374,1561,5323,2412
"KH2013:KH.L46.4",1892.85704934297,0.226404309797539,0.278391587911038,0.813258444683637,0.416069896982352,0.637988106321147,1421,1781,1100,1766,2809,1951,2479,2048,1510,2514,2406,3046,5358,3215,2756,1708
"KH2013:KH.L46.2",7.34264924783182,-0.5502657322412,1.25347383922286,-0.438992594039583,0.660666902607874,NA,10,11,3,5,77,8,14,11,2,8,5,3,24,21,18,5
"KH2013:KH.L46.1",291.690733923519,1.07315274591387,0.356162368729051,3.01309975487688,0.00258593899856667,0.0217543185060938,338,384,198,331,500,307,301,284,205,236,557,289,793,406,550,341
"KH2013:KH.L46.11",392.054242329629,-0.0290707947229419,0.319539211070961,-0.0909772375837971,0.927510677813344,0.966093787898911,284,376,284,397,906,953,479,342,268,488,694,428,966,541,672,448
"KH2013:KH.L47.4",14.1763986237301,2.58478185200595,1.93304635713526,1.33715461218248,0.181172173819985,0.391011662251678,3,17,2,0,0,1,4,6,2,0,5,64,1,12,5,7
"KH2013:KH.L47.3",3.2537919880168,-0.612611821176492,1.78219319937132,-0.343740410070353,0.731041518068949,NA,2,3,0,0,1,0,1,4,2,0,26,4,1,80,2,0
"KH2013:KH.L47.2",3.65145923757928,-0.266287302331459,1.42559378281172,-0.186790448683254,0.851824935962856,NA,5,1,2,2,1,2,4,2,0,0,5,3,3,5,2,2
"KH2013:KH.L47.9",309.443464571621,-2.07578086859751,0.470201266750555,-4.41466456043966,1.01166735070453e-05,0.00029535447024583,217,242,149,167,241,170,104,92,30,32,145,33,83,32,170,88
"KH2013:KH.L47.5",534.556439488103,-0.835919846677065,0.338937547729428,-2.46629460877664,0.0136518997518369,0.0704426973024944,550,488,301,365,533,428,772,573,288,402,485,781,1179,672,656,505
"KH2013:KH.L47.10",104.584561032391,0.366227214506957,0.627604345299066,0.583531993126088,0.559535226249674,0.745871400329683,43,65,122,191,23,147,418,294,5,3,165,136,240,189,302,252
"KH2013:KH.L47.1",661.290337656663,0.218003901634603,0.227496149408911,0.958275127737453,0.337924042328297,0.565497668566593,709,594,609,853,739,805,969,545,314,640,599,414,2074,1006,1147,990
"KH2013:KH.L47.8",36.4646318626269,1.1913370119163,0.841621118820752,1.41552651813866,0.156914178962062,0.362425376358482,24,44,17,26,80,35,37,8,16,20,91,22,36,64,22,34
"KH2013:KH.L48.1",752.504721724109,-1.02432207785532,0.330239334636479,-3.1017567273834,0.00192375980794827,0.0176390782390653,433,410,1076,1042,3728,1505,1207,998,375,852,714,299,2011,924,2153,1384
"KH2013:KH.L49.1",1577.6912984068,0.260215372542635,0.247435072532561,1.05165112560343,0.292959642183371,0.519300506206825,1736,1802,1324,1576,2513,2284,1620,1269,1060,1498,2609,1239,2051,1514,2286,1744
