GeneID,UniqueNAME,NewAnnotation_ASMTVC2.best_model,coevcoew_logfc,coevcoew_pval,coevlacz_logfc,coevlacz_pval,coewvlacz_logfc,coewvlacz_pval
KH2013:KH.C12.521,CALML6,KYOTOGRAIL2005.485.9.1,3.19758102,0.00000446,1.660476338,0.118970559,-1.537104682,0.09020494
KH2013:KH.C12.562,NOG/1/2/3/5,KYOTOGRAIL2005.277.6.1,1.147757023,0.047543999,0.56125307,0.636351239,-0.586503953,0.513699108
KH2013:KH.C12.671,FLNA,KYOTOGRAIL2005.234.14.1,1.209024731,0.007806788,1.099887346,0.065349053,-0.109137385,0.955143799
KH2013:KH.C13.167,KH2013:KH.C13.167,KYOTOGRAIL2005.190.29.1,3.181958549,0.003082033,2.286887694,0.16159176,-0.895070855,0.709341181
KH2013:KH.S2311.1,BOL,KYOTOGRAIL2005.2311.1.1,1.903751815,0.005599622,1.432611382,0.165788433,-0.471140433,0.782075417
KH2013:KH.C14.129,KH2013:KH.C14.129_TPM1/2/3/4,KYOTOGRAIL2005.66.26.1,4.118432221,0.000000329,2.765612116,0.004387797,-1.352820105,0.260227468
KH2013:KH.C14.307,MYF5,KYOTOGRAIL2005.66.12.1,2.510782545,0.000924619,1.506987093,0.23512865,-1.003795452,0.42018167
KH2013:KH.C14.310,ZCCHC24,KYOTOGRAIL2005.40.42.1,1.364910481,0.000764102,-0.478119769,0.600728706,-1.84303025,0.00000759
KH2013:KH.C14.312,PDLIM1/2/3/4/7,KYOTOGRAIL2005.270.9.1,1.567480145,0.011121469,1.27208618,0.159533657,-0.295393965,0.875658734
KH2013:KH.C14.401,KH2013:KH.C14.401,KYOTOGRAIL2005.920.2.1,2.252765909,0.00000503,0.842283096,0.364259691,-1.410482813,0.01463838
KH2013:KH.C14.464,FRS2/3,KYOTOGRAIL2005.66.14.1,1.365943701,0.000947155,0.100470802,0.971911797,-1.265472899,0.004849231
KH2013:KH.C14.540,KH2013:KH.C14.540_ACAN,KYOTOGRAIL2005.66.11.1,1.604717542,0.042263318,1.426542562,0.208199293,-0.178174979,0.95438814
KH2013:KH.C14.65,DCDC2B,KYOTOGRAIL2005.55.41.1,1.239619704,0.00012941,0.188586341,0.887191763,-1.051033363,0.003321706
KH2013:KH.C2.206,CLCA1/2/3/6,KYOTOGRAIL2005.181.25.1,1.202761556,0.045925231,1.603489342,0.011993319,0.400727786,0.75663209
KH2013:KH.C2.236,COL6A1/2/3/5/6,KYOTOGRAIL2005.181.21.1,3.273635575,3.75E-08,2.129955878,0.002525281,-1.143679698,0.158200367
KH2013:KH.C2.240,ATP10B,KYOTOGRAIL2005.491.5.1,1.991565239,0.0000847,0.552400412,0.663698668,-1.439164827,0.01440056
KH2013:KH.C2.287,KH2013:KH.C2.287_DSCAM/2/3/4,KYOTOGRAIL2005.187.9.1,2.331315974,0.000553325,1.039031434,0.418865742,-1.29228454,0.150635969
KH2013:KH.C2.333,WISP1/2/3,KYOTOGRAIL2005.15.41.1,2.589042465,0.000115147,2.198054556,0.00791247,-0.390987908,0.848927614
KH2013:KH.C2.438,PPIL4,KYOTOGRAIL2005.15.40.1,1.240805918,0.032970154,1.072198529,0.207300249,-0.168607389,0.937203092
