GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KH2013:KH.C1.89,52.7906578675,0.0440583533,0.4982971358,0.0884178338,0.9295445875,0.9833843007
KH2013:KH.C1.633,1498.7626680279,-0.106695265,0.2148960767,-0.4964970353,0.6195437786,0.8817883242
KH2013:KH.C1.4,458.447205767,-0.9752156728,0.3453160647,-2.8241248304,0.0047409916,0.0750379947
KH2013:KH.C1.898,379.508972612,0.1562138142,0.3362298935,0.4646041807,0.6422149378,0.8910486561
KH2013:KH.C1.628,293.0835555674,0.6678803875,0.4261115375,1.5673839564,0.1170249717,0.4539796514
KH2013:KH.C1.884,698.2338519507,-0.1818786825,0.2127973728,-0.8547036087,0.3927152522,0.7593019314
KH2013:KH.C1.484,288.1025718852,-0.8743082261,0.3408730174,-2.5649088704,0.0103202906,0.1230969013
KH2013:KH.C1.574,29708.2777960116,-0.0375637245,0.2007620581,-0.1871056953,0.8515777628,0.9641102561
KH2013:KH.C1.733,29.3944046151,-0.3807333803,0.5404768751,-0.7044397232,0.4811589754,0.811785289
KH2013:KH.C1.100,3.9927060164,0.0203035043,0.5860558561,0.034644316,0.9723633636,NA
KH2013:KH.C1.1279,2.473929941,0.1125709841,0.465708338,0.2417199241,0.8089971901,NA
KH2013:KH.C1.1268,2.4496829966,0.0609523302,0.5768260607,0.1056684751,0.9158453935,NA
KH2013:KH.C1.1192,1.9694078153,0.0398884068,0.555289954,0.0718334746,0.9427344327,NA
KH2013:KH.C1.187,473.477664817,-0.4835236537,0.2684689361,-1.8010413448,0.0716963636,0.3551771129
KH2013:KH.C1.546,1178.3975501023,-0.1672045608,0.1852032341,-0.9028166359,0.3666232204,0.741137302
KH2013:KH.C1.128,0,NA,NA,NA,NA,NA
KH2013:KH.C1.1012,400.5050017039,0.0903837306,0.3585474739,0.2520830216,0.8009768931,0.9500106118
KH2013:KH.C1.1109,1156.3016768734,-0.9350299527,0.4905603294,-1.906044775,0.0566443967,0.3121250082
KH2013:KH.C1.158,140.455203321,-1.4839162999,0.6209679855,-2.3896824547,0.0168629456,0.1637679358
