GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
KH2013:KH.C1.191,7.4926804807,-0.6181932192,0.6631765585,-0.9321698893,0.3512487339,0.657470496
KH2013:KH.C1.68,44.550068294,0.4952947139,0.4457795922,1.1110753444,0.2665359196,0.5778523018
KH2013:KH.C1.309,128.2520572753,-0.1872640504,0.4372781112,-0.4282493124,0.6684696178,0.8733010235
KH2013:KH.C1.199,319.6565335395,-0.1735482303,0.342184089,-0.5071779661,0.6120299537,0.8432107201
KH2013:KH.C1.991,56.7999597916,0.8157096109,0.4628613002,1.7623197502,0.0780152888,0.3027947104
KH2013:KH.C1.449,14.1503089079,0.5456950211,0.5864220545,0.930549963,0.3520864079,0.6578926892
KH2013:KH.C1.317,996.3232733165,0.3714958281,0.193640355,1.9184835111,0.0550497309,0.2483665018
KH2013:KH.C1.1152,10.7317910123,-1.314789278,0.6628193207,-1.983631492,0.0472969358,0.2281341348
KH2013:KH.C1.863,57.9411123542,-0.6535299797,0.5236090786,-1.2481257609,0.2119850057,0.5153017876
KH2013:KH.C1.1284,50.6080667693,0.0855386046,0.4660236454,0.1835499237,0.8543665506,0.9541499507
KH2013:KH.C1.787,3669.4110070649,0.3848412101,0.2229722052,1.725960461,0.0843545262,0.3161208355
KH2013:KH.C1.677,4004.6455778153,0.4205859921,0.1553176694,2.7079082105,0.0067708746,0.0700304889
KH2013:KH.C1.809,94.5395057138,-0.0836443392,0.4248740838,-0.1968685369,0.8439304158,0.9494473032
KH2013:KH.C1.1081,1106.0127733694,-0.2825135266,0.2729756468,-1.0349404054,0.3006967434,0.6107468356
KH2013:KH.C1.63,615.3729817793,0.7134947066,0.3041921053,2.3455398553,0.0189995472,0.1331766367
KH2013:KH.C1.1122,32.6851484702,-0.8244673665,0.5923179507,-1.3919337842,0.1639424502,0.4484367555
KH2013:KH.C1.1158,1.9446330264,-0.1790699738,0.5109043322,-0.3504960959,0.7259664196,NA
KH2013:KH.C1.99,264.3540941741,1.1262277551,0.5004754691,2.2503155991,0.0244289184,0.1541349956
KH2013:KH.C1.1053,8.1980171187,0.4211598004,0.6455356999,0.6524190692,0.514130866,0.7810419249
KH2013:KH.C1.89,52.7906578675,-0.403283611,0.4945298859,-0.8154888562,0.4147925408,0.7105247531
KH2013:KH.C1.633,1498.7626680279,0.1985079928,0.2133884698,0.930265787,0.3522334873,0.6578926892
KH2013:KH.C1.4,458.447205767,0.8562872065,0.3373396391,2.53835336,0.0111375467,0.0966704246
KH2013:KH.C1.898,379.508972612,0.111496355,0.3339921764,0.3338292417,0.7385084163,0.9062099784
KH2013:KH.C1.628,293.0835555674,0.2138387118,0.4248176493,0.5033658844,0.6147070527,0.8442553318
KH2013:KH.C1.884,698.2338519507,0.3633910258,0.209394636,1.735436173,0.0826635776,0.3132662925
KH2013:KH.C1.484,288.1025718852,-0.0250016261,0.3352054345,-0.0745859809,0.9405441287,0.9837551801
KH2013:KH.C1.574,29708.2777960116,1.0468190645,0.2006387795,5.2174313819,1.81421398803873E-07,2.10322616422021E-05
KH2013:KH.C1.733,29.3944046151,1.2894787346,0.5156477608,2.500696857,0.0123949225,0.1026391966
KH2013:KH.C1.100,3.9927060164,0.5275281156,0.5953958052,0.8860124827,0.3756108007,NA
KH2013:KH.C1.1279,2.473929941,-0.1387139534,0.4705285454,-0.2948045443,0.7681431948,NA
KH2013:KH.C1.1268,2.4496829966,-0.0259231809,0.5891188209,-0.0440033148,0.9649017616,NA
KH2013:KH.C1.1192,1.9694078153,0.3261021632,0.5764280863,0.565729136,0.5715779256,NA
KH2013:KH.C1.187,473.477664817,0.196087517,0.264398951,0.7416350037,0.4583085095,0.7398194755
KH2013:KH.C1.546,1178.3975501023,0.9232271548,0.1818536007,5.0767603794,3.83924550795061E-07,0.000040303
KH2013:KH.C1.128,0,NA,NA,NA,NA,NA
KH2013:KH.C1.1012,400.5050017039,-0.3232311947,0.3571837145,-0.9049438189,0.3654951512,0.669575816
KH2013:KH.C1.1109,1156.3016768734,0.4667237923,0.4881542451,0.9560990137,0.339022213,0.6471712692
KH2013:KH.C1.158,140.455203321,0.4156286414,0.6135175759,0.6774518902,0.4981192847,0.7699624701
KH2013:KH.C1.485,1.2851418216,0.1539584378,0.4632022285,0.3323784479,0.7396035104,NA
KH2013:KH.C1.461,2.6505210913,0.0325888032,0.5845088837,0.0557541623,0.9555376513,NA
KH2013:KH.C1.805,19.0031393363,-1.0646598903,0.638675575,-1.6669807519,0.0955182323,0.3356481479
KH2013:KH.C1.749,110.0751048709,-0.379171482,0.4886272568,-0.7759933093,0.4377529364,0.7261567933
KH2013:KH.C1.481,241.9224470051,0.0517736772,0.3410050608,0.1518267122,0.8793236131,0.9625237874
KH2013:KH.C1.1014,28.2807585407,-0.6180576507,0.5783659293,-1.0686273505,0.2852376193,0.5953018065
KH2013:KH.C1.540,11.8844017157,-1.0443476078,0.6330600551,-1.6496817315,0.0990080486,0.3426828033
KH2013:KH.C1.637,1272.5461321068,0.5947917944,0.2370661338,2.5089699015,0.0121083801,0.1012206209
KH2013:KH.C1.867,125.5507412218,0.8204136732,0.4986209257,1.645365509,0.0998944579,0.3438668559
KH2013:KH.C1.119,13.0684201393,-0.0512053834,0.6129959685,-0.0835329855,0.9334277504,0.9810373487
KH2013:KH.C1.746,127.706225543,-0.7674514521,0.6023070926,-1.2741863104,0.2025973956,0.502049903
KH2013:KH.C1.220,114.3831286915,-1.2646362195,0.3680122389,-3.4363971787,0.0005895061,0.0126558694
KH2013:KH.C1.670,447.2050783796,-1.2435063209,0.3296277229,-3.7724567273,0.000161648,0.004977116
KH2013:KH.C1.832,86.8266896785,0.7919497342,0.4872446947,1.6253634833,0.1040851319,0.3517523394
KH2013:KH.C1.1276,26.3029428602,0.494670431,0.649820848,0.7612412446,0.4465129874,0.7304865232
KH2013:KH.C1.1157,1012.1446170125,-1.3564235774,0.3311232581,-4.096430994,4.19568477476797E-05,0.0017106076
KH2013:KH.C1.285,212.5129286498,-0.5312078771,0.4341226506,-1.2236354782,0.2210897696,0.5264455811
KH2013:KH.C1.583,784.0231419178,0.4901859648,0.285067047,1.7195462256,0.0855149581,0.3177495602
KH2013:KH.C1.1045,414.7634342286,0.9872224565,0.3589395338,2.7503865235,0.0059525005,0.0643623163
KH2013:KH.C1.430,28.5821634156,1.0441384399,0.5168061104,2.0203678301,0.0433452477,0.2168848714
KH2013:KH.C1.1275,2380.4524483164,-0.6355277188,0.2525438043,-2.5165048915,0.0118525255,0.0999265584
KH2013:KH.C1.1224,604.0475848081,-0.2530524615,0.285124406,-0.887515962,0.3748011763,0.6783951184
KH2013:KH.C1.146,2072.0721285714,0.6765485024,0.2344665059,2.8854803795,0.0039081682,0.0485136859
KH2013:KH.C1.1075,50.5574703925,-0.864821054,0.5257341272,-1.6449779637,0.0999743555,0.3438668559
KH2013:KH.C1.913,21.783652324,0.4605807109,0.6565137058,0.7015553626,0.4829564972,0.7577705097
KH2013:KH.C1.993,1086.6963572076,1.5041336585,0.3847378542,3.9095026443,9.24863431331339E-05,0.0032793296
KH2013:KH.C1.47,62.9512776716,1.8632113031,0.5963816142,3.1241930651,0.0017829343,0.0278338172
KH2013:KH.C1.1302,53.6721048181,0.3286511329,0.5012839468,0.6556187067,0.5120694862,0.7794166446
KH2013:KH.C1.411,281.6152508344,-0.3992034897,0.2963633259,-1.3470070512,0.1779779617,0.4674551193
KH2013:KH.C1.124,4098.8102131669,-0.0519781679,0.1893460105,-0.2745141963,0.7836894954,0.9275910938
KH2013:KH.C1.178,44.2922097419,-1.2679601282,0.5025788196,-2.5229080069,0.0116388844,0.0990233612
KH2013:KH.C1.1270,25.9062799186,-0.2071999916,0.6373392808,-0.3251015556,0.7451042116,0.9091325145
KH2013:KH.C1.1121,26.7384607883,0.0603463617,0.5643039325,0.1069394668,0.9148370027,0.974403365
KH2013:KH.C1.147,28.0123925968,1.0823552985,0.521291981,2.0762937816,0.0378667881,0.2001870331
KH2013:KH.C1.974,6.9744056953,-1.8672477794,0.6620672432,-2.8203295035,0.004797436,0.0559574947
KH2013:KH.C1.133,6576.1403135158,0.4513808807,0.2107684561,2.1415959919,0.0322260066,0.1802925385
KH2013:KH.C1.252,1753.138032154,0.0260564663,0.2525197592,0.1031858513,0.917815469,0.9757765963
KH2013:KH.C1.999,10.5772836023,0.1241959614,0.6514169609,0.1906550933,0.8487958236,0.9511764243
KH2013:KH.C1.142,7212.8086358804,0.5215029719,0.1887264114,2.7632749862,0.0057224533,0.0629469864
KH2013:KH.C1.113,1156.0467938563,-0.0817644051,0.619034615,-0.1320837367,0.8949180594,0.9685077984
KH2013:KH.C1.1247,12.1733147179,0.375688468,0.6481804502,0.5796047504,0.5621811888,0.8149578259
KH2013:KH.C1.308,32.8722418405,0.6600484458,0.6532196817,1.0104540084,0.3122778235,0.6224591585
KH2013:KH.C1.5,94.5637730159,-0.0816740485,0.502246957,-0.1626173089,0.8708197579,0.9597229902
KH2013:KH.C1.272,27.4227460453,-0.436236097,0.563717815,-0.7738554387,0.4390162839,0.7266250896
KH2013:KH.C1.108,288.1666138717,-0.9317889157,0.3746100534,-2.4873569385,0.0128696203,0.1048763925
KH2013:KH.C1.563,7.2365572478,0.9652367259,0.6523568888,1.4796145216,0.1389761489,0.4122897234
KH2013:KH.C1.847,5.2490052854,0.5754032351,0.6634874567,0.8672405625,0.3858102158,NA
KH2013:KH.C1.25,10.3995392301,-0.0770762974,0.658108388,-0.1171179381,0.906766595,0.9729515349
KH2013:KH.C1.855,3.6745416499,-0.2945676361,0.6589647464,-0.447015774,0.6548636707,NA
KH2013:KH.C1.891,15.3502607847,0.0561499161,0.6630411296,0.0846854193,0.932511488,0.9806423494
KH2013:KH.C1.1028,8.8148079219,-0.6317879513,0.6634463952,-0.952281836,0.3409540672,0.6489723526
KH2013:KH.C1.857,4.3204906748,-0.844622438,0.6564787876,-1.2865951709,0.1982354278,NA
KH2013:KH.C1.1255,3.0534695479,-0.0421519245,0.424684321,-0.0992547226,0.920936027,NA
KH2013:KH.C1.475,6.8013194672,-0.1622185927,0.6614563412,-0.2452445953,0.8062670484,0.9370719457
