foxf1_ko_10hpf_rnaseq_june_6	foxf_ko_10hpf_rnaseq_may_31	lacz1_ko_10hpf_rnaseq_may_31	lacz2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_june_6	ngn2_ko_10hpf_rnaseq_may_31
KH2013:KH.C10.506	43	229	57	47	86	209
KH2013:KH.C10.507	319	759	367	257	294	1187
KH2013:KH.C10.508	94	242	111	69	88	378
KH2013:KH.C10.51	0	0	0	0	0	0
KH2013:KH.C10.510	209	563	274	145	266	724
KH2013:KH.C10.511	72	219	115	63	76	328
KH2013:KH.C10.512	36	87	38	25	37	116
KH2013:KH.C10.513	24	77	46	36	25	211
KH2013:KH.C10.514	188	388	247	105	139	514
KH2013:KH.C10.515	0	1	1	0	0	10
KH2013:KH.C10.516	0	0	0	0	1	0
KH2013:KH.C10.517	32	94	58	42	36	107
KH2013:KH.C10.518	0	0	1	0	0	5
KH2013:KH.C10.519	6	11	8	2	2	20
KH2013:KH.C10.52	2	8	2	3	3	15
KH2013:KH.C10.520	5	12	7	5	3	9
KH2013:KH.C10.521	391	962	437	291	377	1384
KH2013:KH.C10.522	128	300	182	99	112	465
KH2013:KH.C10.523	65	149	98	55	81	276
KH2013:KH.C10.524	53	108	83	40	35	231
KH2013:KH.C10.525	0	0	11	0	0	6
KH2013:KH.C10.526	1	5	2	2	1	7
KH2013:KH.C10.527	1	0	0	0	0	0
KH2013:KH.C10.528	80	222	83	80	83	280
KH2013:KH.C10.529	4	3	6	3	8	5
KH2013:KH.C10.53	18	87	32	34	31	136
KH2013:KH.C10.530	304	847	414	257	278	1188
KH2013:KH.C10.531	212	539	265	178	249	794
KH2013:KH.C10.532	248	517	326	148	251	839
KH2013:KH.C10.533	1	8	5	2	0	11
KH2013:KH.C10.534	120	348	171	101	120	486
KH2013:KH.C10.535	126	249	165	100	104	464
KH2013:KH.C10.536	13	51	28	18	25	80
KH2013:KH.C10.537	3	1	0	1	4	6
KH2013:KH.C10.538	31	90	54	17	28	147
KH2013:KH.C10.539	61	116	58	26	47	171
KH2013:KH.C10.54	45	124	54	28	44	161
KH2013:KH.C10.540	10	16	17	4	7	33
KH2013:KH.C10.541	36	77	41	31	40	101
KH2013:KH.C10.542	850	2423	1103	643	818	3596
KH2013:KH.C10.543	27	60	30	14	24	61
KH2013:KH.C10.544	0	3	0	2	0	0
KH2013:KH.C10.545	1	4	3	1	1	4
KH2013:KH.C10.546	254	585	236	186	314	822
KH2013:KH.C10.547	48	121	49	35	48	187
KH2013:KH.C10.548	0	0	0	0	1	0
KH2013:KH.C10.549	146	550	240	117	207	654
KH2013:KH.C10.55	66	84	37	47	50	146
KH2013:KH.C10.550	262	757	335	148	239	1071
KH2013:KH.C10.551	172	453	195	137	261	690
KH2013:KH.C10.552	15	51	16	11	14	45
KH2013:KH.C10.553	5	3	1	3	6	22
KH2013:KH.C10.554	30	76	58	38	37	123
KH2013:KH.C10.555	43	87	38	42	43	120
KH2013:KH.C10.556	45	175	95	76	86	329
KH2013:KH.C10.557	6	12	16	3	3	24
KH2013:KH.C10.558	31	111	52	28	39	142
KH2013:KH.C10.559	414	890	503	362	434	1412
KH2013:KH.C10.56	27	61	40	35	35	95
KH2013:KH.C10.560	450	1078	554	277	435	1614
KH2013:KH.C10.561	98	205	118	53	74	310
KH2013:KH.C10.562	1	2	0	1	0	1
KH2013:KH.C10.563	223	588	310	116	179	828
KH2013:KH.C10.564	13	82	41	31	25	131
KH2013:KH.C10.565	286	609	276	190	225	896
KH2013:KH.C10.566	60	147	103	101	62	317
KH2013:KH.C10.567	0	0	0	1	0	1
KH2013:KH.C10.568	0	0	0	0	0	0
